id,name,search_name,generic,category,category_assumed,needs_review,duplicate,quantity,reorder_level,unit_cost
278,TALEN (BROMAZEPAN) 3MG,TALEN 3MG,BROMAZEPAN,Tablet/Capsule,YES,YES,,0,,
279,TALEN (BROMAZEPAN) 1.5MG,TALEN 1.5MG,BROMAZEPAN,Tablet/Capsule,YES,YES,,0,,
280,PANADOL EXTRA,PANADOL EXTRA,,Tablet/Capsule,YES,,,0,,
281,BIOPHAGE (METROFORMIN) 500MG,BIOPHAGE 500MG,METROFORMIN,Tablet/Capsule,YES,YES,,0,,
282,APETAKRIS (CYPROHEPLADINE 4MG),APETAKRIS,CYPROHEPLADINE 4MG,Tablet/Capsule,YES,YES,,0,,
283,CAC 1000 PLUS,CAC 1000 PLUS,,Tablet/Capsule,YES,,,0,,
284,(NEW DIVINE) CHEST AND LUNGS,CHEST AND LUNGS,NEW DIVINE,Tablet/Capsule,YES,,,0,,
285,CHLORPHENIRAMINE 4MG BY 1000,CHLORPHENIRAMINE 4MG BY 1000,,Tablet/Capsule,YES,,,0,,
286,AROGUANIL PALUDRINE BY 100 TAB,AROGUANIL PALUDRINE BY 100 TAB,,Tablet/Capsule,YES,YES,,0,,
287,TAB MISOPROSTOL 200MG,TAB MISOPROSTOL 200MG,,Tablet/Capsule,YES,,,0,,
288,AUGUMENTIN 1G,AUGUMENTIN 1G,,Tablet/Capsule,YES,YES,,0,,
289,PANADOL 1 PACK,PANADOL 1 PACK,,Tablet/Capsule,YES,,,0,,
290,MATHIZAN 3MG X 500MG,MATHIZAN 3MG X 500MG,,Tablet/Capsule,YES,YES,,0,,
291,AMLODIPINE BY TEVA 1 PACK,AMLODIPINE BY TEVA 1 PACK,,Tablet/Capsule,YES,,,0,,
292,ASOMEX TN - 5 (AMLODIPINE CAPSULE),ASOMEX TN - 5,AMLODIPINE CAPSULE,Tablet/Capsule,YES,,,0,,
293,SYNEROO TM TAB (CALOGOLINE),SYNEROO TM TAB,CALOGOLINE,Tablet/Capsule,YES,YES,,0,,
294,ATORVASTAIN 10MG BY DARLI,ATORVASTAIN 10MG BY DARLI,,Tablet/Capsule,YES,YES,,0,,
295,NIFECARD XL 30MG (NIFEDIPINE),NIFECARD XL 30MG,NIFEDIPINE,Tablet/Capsule,YES,,,0,,
296,OMEGA H3,OMEGA H3,,Tablet/Capsule,YES,,,0,,
297,COD LIVER OIL,COD LIVER OIL,,Tablet/Capsule,YES,,,0,,
298,VITAMIN E 1000 I.V,VITAMIN E 1000 I.V,,Tablet/Capsule,YES,,,0,,
299,BUSCOPAN (HYOSINE BUTYBROMIDE,BUSCOPAN (HYOSINE BUTYBROMIDE,,Tablet/Capsule,YES,YES,,0,,
300,UIDAGLIPTIN 50MG,UIDAGLIPTIN 50MG,,Tablet/Capsule,YES,YES,,0,,
301,ALPHABETIC MULTIVITAMIN,ALPHABETIC MULTIVITAMIN,,Tablet/Capsule,YES,,,0,,
302,KEPPRA 250MG (LEVETIRASETAM),KEPPRA 250MG,LEVETIRASETAM,Tablet/Capsule,YES,YES,,0,,
303,KEPPRA 500MG,KEPPRA 500MG,,Tablet/Capsule,YES,,,0,,
304,PROBIOTIC 30 CAPSULE,PROBIOTIC 30 CAPSULE,,Tablet/Capsule,YES,,,0,,
305,SELENIUM 200MG,SELENIUM 200MG,,Tablet/Capsule,YES,,,0,,
306,CLOMID (CLOMIPHENE CITRATE),CLOMID,CLOMIPHENE CITRATE,Tablet/Capsule,YES,,,0,,
307,OVUMINE 50 (CLOMIPHENE CITRATE),OVUMINE 50,CLOMIPHENE CITRATE,Tablet/Capsule,YES,,,0,,
308,TAB LABETRALOL 100MG,TAB LABETRALOL 100MG,,Tablet/Capsule,YES,YES,,0,,
309,TRANEXAMIC ACID TAB 500MG,TRANEXAMIC ACID TAB 500MG,,Tablet/Capsule,YES,,,0,,
310,ZINC SULPHATE TAB,ZINC SULPHATE TAB,,Tablet/Capsule,YES,,,0,,
311,PYTHROCIN AZITHROMYCIN 500MG,PYTHROCIN AZITHROMYCIN 500MG,,Tablet/Capsule,YES,YES,,0,,
312,ZENTIEL ALBENDAZOLE 200MG,ZENTIEL ALBENDAZOLE 200MG,,Tablet/Capsule,YES,YES,,0,,
313,CENOX TN (CIPROFLOXACIN & TN),CENOX TN,CIPROFLOXACIN & TN,Tablet/Capsule,YES,,,0,,
314,ZIMILAT 625MG (AMOXICILIN & POTA),ZIMILAT 625MG,AMOXICILIN & POTA,Tablet/Capsule,YES,YES,,0,,
315,OXISPA CEFUROXIME 500MG,OXISPA CEFUROXIME 500MG,,Tablet/Capsule,YES,,,0,,
316,FLU-J TABLET,FLU-J TABLET,,Tablet/Capsule,YES,,,0,,
317,DR MEYERS FOLIC ACID BY 1000,DR MEYERS FOLIC ACID BY 1000,,Tablet/Capsule,YES,,,0,,
318,DR MEYERS FOLIC + B12 BY 1000,DR MEYERS FOLIC + B12 BY 1000,,Tablet/Capsule,YES,,,0,,
319,GENEVIN GRISE OFULUIN 500MG,GENEVIN GRISE OFULUIN 500MG,,Tablet/Capsule,YES,YES,,0,,
320,CHLORAMPHENICOL 250MG TAB,CHLORAMPHENICOL 250MG TAB,,Tablet/Capsule,YES,,,0,,
321,ERITHROMYCIN TAB BY FRESHBORN,ERITHROMYCIN TAB BY FRESHBORN,,Tablet/Capsule,YES,YES,,0,,
322,COTHRIAL FORTE,COTHRIAL FORTE,,Tablet/Capsule,YES,,,0,,
323,FLUCONAZOLE CAPSULE 200MG,FLUCONAZOLE CAPSULE 200MG,,Tablet/Capsule,YES,,DUPLICATE,0,,
324,CIMETIDINE CAP BP 400MG,CIMETIDINE CAP BP 400MG,,Tablet/Capsule,YES,,,0,,
325,PYRANTRIN TAB,PYRANTRIN TAB,,Tablet/Capsule,YES,,,0,,
326,CIPROTAB 500MG BY 10,CIPROTAB 500MG BY 10,,Tablet/Capsule,YES,,,0,,
327,PARA 1000 BY EMZOR,PARA 1000 BY EMZOR,,Tablet/Capsule,YES,,,0,,
328,LOKMAL,LOKMAL,,Tablet/Capsule,YES,,,0,,
329,EMCAP PARACETAMOL CAPLET,EMCAP PARACETAMOL CAPLET,,Tablet/Capsule,YES,,,0,,
330,ERYTHROMYCIN 500MG BY ERYTHROTEX,ERYTHROMYCIN 500MG BY ERYTHROTEX,,Tablet/Capsule,YES,,,0,,
331,WORMOTH ALBENDAZOLE 200MG TAB,WORMOTH ALBENDAZOLE 200MG TAB,,Tablet/Capsule,YES,,,0,,
332,CETIDYN LEUOETRIZINE TAB,CETIDYN LEUOETRIZINE TAB,,Tablet/Capsule,YES,YES,,0,,
333,PIROXICAM CAPSULE 200MG BY PILOXICAM,PIROXICAM CAPSULE 200MG BY PILOXICAM,,Tablet/Capsule,YES,,,0,,
334,CIPROFLOXACIN 500MG BY PILOTAB,CIPROFLOXACIN 500MG BY PILOTAB,,Tablet/Capsule,YES,,,0,,
335,METRONIDAZOLE 400MG BY FAMAGYL,METRONIDAZOLE 400MG BY FAMAGYL,,Tablet/Capsule,YES,,,0,,
336,HONNIDIL TADALIL 20MG TAB,HONNIDIL TADALIL 20MG TAB,,Tablet/Capsule,YES,YES,,0,,
337,PELROZE VITAMIN C CHEWABLE 500MG,PELROZE VITAMIN C CHEWABLE 500MG,,Tablet/Capsule,YES,,,0,,
338,LYNSUNATE FORTE 80/480MG,LYNSUNATE FORTE 80/480MG,,Tablet/Capsule,YES,,,0,,
339,WELLROZE TAB,WELLROZE TAB,,Tablet/Capsule,YES,,,0,,
340,TAB COCODAMOL 30/500MG,TAB COCODAMOL 30/500MG,,Tablet/Capsule,YES,,,0,,
341,CAP VITALOX (AMPICLOX UNBRANDED),CAP VITALOX,AMPICLOX UNBRANDED,Tablet/Capsule,YES,,,0,,
342,ACICLOVIR 200MG (UNBRANDED),ACICLOVIR 200MG,UNBRANDED,Tablet/Capsule,YES,,,0,,
343,ACICLOVIR 400MG (UNBRANDED),ACICLOVIR 400MG,UNBRANDED,Tablet/Capsule,YES,,,0,,
344,SHALE'ATEM TAB,SHALE'ATEM TAB,,Tablet/Capsule,YES,,,0,,
345,CATAFLAM,CATAFLAM,,Tablet/Capsule,YES,,,0,,
346,AMLODIPINE 10MG BY FRESHBORN,AMLODIPINE 10MG BY FRESHBORN,,Tablet/Capsule,YES,,,0,,
347,TAB SUPERGESIC,TAB SUPERGESIC,,Tablet/Capsule,YES,,,0,,
348,TAB PREGMUM,TAB PREGMUM,,Tablet/Capsule,YES,,,0,,
349,DARAVITE FORTE,DARAVITE FORTE,,Tablet/Capsule,YES,,,0,,
350,SIRDALUD (TIZANIDINE) 2MG,SIRDALUD 2MG,TIZANIDINE,Tablet/Capsule,YES,,,0,,
351,SIRDALUD (TIZANIDINE) 4MG,SIRDALUD 4MG,TIZANIDINE,Tablet/Capsule,YES,,,0,,
352,CELECOXIB (BY POCCO),CELECOXIB,BY POCCO,Tablet/Capsule,YES,,,0,,
353,CALCIUM (CAL-D3),CALCIUM,CAL-D3,Tablet/Capsule,YES,,DUPLICATE,0,,
354,VITAMIN C 1000MG (NATURE FIELD),VITAMIN C 1000MG,NATURE FIELD,Tablet/Capsule,YES,,,0,,
355,DARAVITE WOMAN,DARAVITE WOMAN,,Tablet/Capsule,YES,,,0,,
356,WELL WOMAN 50+,WELL WOMAN 50+,,Tablet/Capsule,YES,,,0,,
357,WELL WOMAN 70+,WELL WOMAN 70+,,Tablet/Capsule,YES,,,0,,
358,LORATIDINE (UNBRANDED),LORATIDINE,UNBRANDED,Tablet/Capsule,YES,YES,,0,,
359,VITAMIN D,VITAMIN D,,Tablet/Capsule,YES,,,0,,
360,VITAMIN E,VITAMIN E,,Tablet/Capsule,YES,,,0,,
361,PROBIOTICS GUMIES,PROBIOTICS GUMIES,,Tablet/Capsule,YES,YES,,0,,
362,CRANBERRY GUMIES,CRANBERRY GUMIES,,Tablet/Capsule,YES,YES,,0,,
363,TAB SINUFED,TAB SINUFED,,Tablet/Capsule,YES,,,0,,
364,TAB EPILIM,TAB EPILIM,,Tablet/Capsule,YES,,,0,,
365,AST0VASTATIN 20 (ASTIN 20),AST0VASTATIN 20,ASTIN 20,Tablet/Capsule,YES,YES,,0,,
366,TAB CALCIUM BY 1000,TAB CALCIUM BY 1000,,Tablet/Capsule,YES,,,0,,
367,TAB PRIMOLUT N,TAB PRIMOLUT N,,Tablet/Capsule,YES,,,0,,
368,TAB BRUSTAN N,TAB BRUSTAN N,,Tablet/Capsule,YES,,,0,,
369,UNBRANDED WHITE POSTINOR,UNBRANDED WHITE POSTINOR,,Tablet/Capsule,YES,,,0,,
370,VITACLOX 250MG AMOXICILLIN CAPSULE,VITACLOX 250MG AMOXICILLIN CAPSULE,,Tablet/Capsule,YES,,,0,,
371,PERFECTIL SKIN AND NAILS,PERFECTIL SKIN AND NAILS,,Tablet/Capsule,YES,,,0,,
372,CQ10,CQ10,,Tablet/Capsule,YES,,,0,,
373,LASMEGA CEFUROXIME 250MG,LASMEGA CEFUROXIME 250MG,,Tablet/Capsule,YES,,,0,,
374,SYSCAN 150MG FLUCONAZOLE,SYSCAN 150MG FLUCONAZOLE,,Tablet/Capsule,YES,,,0,,
375,MIFEPRISTONE TAB,MIFEPRISTONE TAB,,Tablet/Capsule,YES,,,0,,
376,FESULF FERROUS SULFATE BY 1000,FESULF FERROUS SULFATE BY 1000,,Tablet/Capsule,YES,,,0,,
377,EMZOR PARACETAMOL BY 1000,EMZOR PARACETAMOL BY 1000,,Tablet/Capsule,YES,,,0,,
378,METRONIDAZOLE BY 1000,METRONIDAZOLE BY 1000,,Tablet/Capsule,YES,,,0,,
379,UNICID TRISILLATE MAGNESIUM,UNICID TRISILLATE MAGNESIUM,,Tablet/Capsule,YES,YES,,0,,
380,SPIRONOLACTONE 50MG BY DONY,SPIRONOLACTONE 50MG BY DONY,,Tablet/Capsule,YES,,,0,,
381,SPIRONOLACTONE 25MG,SPIRONOLACTONE 25MG,,Tablet/Capsule,YES,,DUPLICATE,0,,
382,MAXIRON BLOOD CAPSULE,MAXIRON BLOOD CAPSULE,,Tablet/Capsule,YES,,,0,,
383,TAB AMITRIPTYLINE,TAB AMITRIPTYLINE,,Tablet/Capsule,YES,,,0,,
384,TAB NITROFURANTOIN,TAB NITROFURANTOIN,,Tablet/Capsule,YES,,,0,,
385,CEFIXIME EZCEF 200MG,CEFIXIME EZCEF 200MG,,Tablet/Capsule,YES,,,0,,
386,ASTOVASTATIN 20MG TEVA,ASTOVASTATIN 20MG TEVA,,Tablet/Capsule,YES,YES,,0,,
387,FLUCAMED FLUCONAZOLE 50MG,FLUCAMED FLUCONAZOLE 50MG,,Tablet/Capsule,YES,,,0,,
